col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,target
b,0,10,6,0,,3,6,a,b,1,84154,31,38,1
b,0,12,7,0,1,2,4,a,b,1,265477,48,40,0
b,0,5,5,0,1,3,10,a,b,1,507875,31,43,0
b,0,13,1,0,1,2,4,a,b,1,88506,53,40,0
b,0,13,1,0,1,3,11,a,b,1,172987,24,50,0
e,0,9,2,0,1,3,1,b,e,1,94638,49,40,0
a,0,9,2,0,1,3,3,a,a,1,289980,25,35,0
b,0,13,1,0,1,4,4,a,b,2,337895,57,40,1
b,0,9,2,0,1,3,10,a,b,1,144361,53,38,0
c,0,14,4,0,1,3,2,b,e,1,128354,44,40,0
b,0,11,8,0,1,1,7,a,b,1,101603,41,40,0
a,0,11,8,0,1,3,4,a,a,1,271466,29,43,0
b,0,10,6,0,1,3,2,b,c,5,32275,25,40,0
a,0,9,2,0,,3,5,b,d,1,226956,18,30,0
b,1902,15,11,0,9,3,4,b,c,1,51835,47,60,1
c,0,13,1,0,1,4,2,a,a,1,251585,50,55,1
c,0,9,2,0,1,7,2,a,a,1,109832,47,60,0
b,0,10,6,0,1,3,11,a,b,1,237993,43,40,1
b,0,3,12,0,6,3,10,a,b,1,216666,46,40,0
b,0,11,8,0,8,3,5,a,b,1,56352,35,40,0
b,0,9,2,0,1,3,1,a,b,1,147372,41,48,0
b,0,9,2,5013,1,3,10,a,b,1,188146,30,40,0
b,0,13,1,2407,1,3,6,a,b,1,59496,30,40,0
d,0,4,9,0,,,,a,a,1,293936,32,40,0
b,0,9,2,0,1,3,8,a,b,1,149640,48,40,0
b,0,16,10,0,1,3,4,a,b,1,116632,42,45,1
c,0,10,6,0,1,3,11,a,a,1,105598,29,58,0
b,0,9,2,0,1,3,7,a,b,1,155537,36,40,0
c,0,10,6,0,1,3,1,b,a,1,183175,28,40,0
b,0,9,2,0,1,3,1,b,c,1,169846,53,40,1
b,0,10,6,0,1,7,2,a,b,1,191681,49,50,1
a,0,10,6,0,1,,,a,d,1,200681,25,40,0
a,0,10,6,0,1,3,4,a,d,1,101509,19,32,0
e,0,13,1,0,1,3,6,b,d,2,309974,31,40,0
b,0,13,1,0,1,2,6,a,b,1,162298,29,70,1
a,0,10,6,0,1,3,10,a,a,1,211678,23,40,0
b,0,10,6,0,1,3,4,a,f,1,124744,79,20,0
a,0,9,2,0,6,3,5,a,d,1,213921,27,40,0
b,0,12,7,0,1,3,1,a,b,1,32214,40,40,0
b,0,6,13,0,1,,,a,b,1,212759,67,2,0
a,0,7,3,0,1,3,5,b,d,1,309634,18,22,0
b,0,4,9,0,1,5,9,a,b,1,125927,31,40,0
a,0,9,2,0,1,3,6,a,a,1,446839,18,30,0
b,0,13,1,0,2,3,5,a,b,1,276515,52,40,0
b,0,9,2,0,1,3,5,b,c,1,51618,46,40,0
b,0,9,2,0,1,3,6,a,b,1,159937,59,48,0
c,0,9,2,14344,1,3,7,b,a,1,343591,44,40,1
c,0,9,2,0,1,3,6,b,d,1,346253,53,35,0
b,0,9,2,0,1,5,13,a,b,1,268234,49,40,1
b,0,14,4,0,1,3,4,a,b,1,202051,33,50,0
a,0,5,5,0,1,3,6,a,a,1,54334,30,40,0
a,0,16,10,0,1,4,4,b,a,1,410867,43,50,1
b,0,11,8,0,1,3,4,a,b,1,249977,57,40,0
c,0,10,6,0,1,3,7,b,e,1,286730,37,40,0
c,0,10,6,0,1,3,10,b,e,2,212563,28,25,0
b,1573,9,2,0,,3,6,b,c,3,117747,30,35,0
b,0,13,1,0,1,5,13,a,b,1,226296,34,40,1
a,0,10,6,0,1,5,3,a,a,1,115585,29,50,0
b,1902,16,10,0,1,2,4,a,b,1,191277,48,60,1
b,0,10,6,0,1,3,6,a,b,1,202683,37,48,1
c,0,12,7,0,10,3,2,b,e,1,171095,48,40,0
a,0,9,2,0,1,4,5,a,d,2,249409,32,40,0
b,0,14,4,0,1,3,2,a,b,1,124191,76,40,1
b,0,13,1,15024,1,3,2,a,b,1,198282,44,60,1
a,0,14,4,0,1,2,4,b,a,1,149116,47,50,0
a,0,10,6,0,1,3,11,b,d,1,188300,20,40,0
a,0,9,2,0,1,3,7,a,a,1,103432,29,40,0
b,0,9,2,7688,1,7,7,a,b,1,317660,32,40,1
a,0,6,13,34095,1,,,b,d,1,304873,17,32,0
a,0,7,3,0,1,3,3,a,d,1,194901,30,40,0
a,0,9,2,0,1,5,1,b,a,1,189265,31,40,0
b,0,9,2,0,1,3,3,a,b,1,124692,42,40,0
a,0,13,1,0,1,3,6,a,f,1,432376,24,40,0
b,0,15,11,0,1,3,4,a,b,1,65324,38,40,1
b,1887,9,2,0,11,2,5,a,b,1,335605,56,50,1
b,0,10,6,4064,1,3,6,b,c,1,377869,28,25,0
a,0,9,2,0,1,3,10,b,d,1,102864,36,40,0
b,0,5,5,0,1,3,3,a,b,1,95647,53,50,0
b,0,10,6,0,1,7,6,a,b,1,303090,56,50,0
b,0,11,8,0,1,5,7,a,b,2,197371,49,40,1
b,0,10,6,0,1,3,6,a,b,1,247552,55,56,0
a,0,9,2,0,1,3,7,a,a,1,102632,22,41,0
a,0,10,6,0,1,3,5,b,d,1,199915,21,40,0
b,0,13,1,0,1,3,2,a,b,1,118853,40,60,0
a,0,13,1,0,12,3,2,a,d,2,77143,30,40,0
b,0,13,1,0,1,1,4,a,b,1,267989,29,50,1
a,0,10,6,0,1,3,5,a,d,2,301606,19,35,0
b,0,13,1,0,1,3,2,b,c,1,287828,47,40,1
a,1719,10,6,0,1,3,1,b,d,1,111697,20,28,0
b,0,12,7,0,1,3,1,a,b,1,114937,31,40,1
b,0,9,2,0,1,,,a,b,1,129305,35,40,0
c,0,10,6,0,1,3,7,a,a,1,365739,39,40,0
a,0,12,7,0,1,3,6,b,a,1,69621,28,60,0
a,1762,9,2,0,1,3,5,b,a,1,43323,24,40,0
b,0,9,2,4386,1,2,7,a,b,1,120985,38,35,0
b,0,13,1,0,1,3,6,a,b,1,254202,37,50,0
c,0,12,7,0,1,3,11,b,a,2,146195,46,36,0
b,0,14,4,0,13,4,4,a,b,1,125933,38,40,1
b,0,9,2,0,1,2,7,a,b,1,56920,43,60,0
b,0,11,8,0,1,3,1,b,c,1,163127,27,35,0
a,0,10,6,0,1,3,6,a,d,1,34310,20,20,0
b,0,10,6,0,1,3,7,a,b,3,81973,49,40,1
b,0,9,2,0,1,7,7,a,b,1,66614,61,40,0
a,0,10,6,0,1,3,6,b,d,1,232782,27,40,0
a,0,10,6,0,6,3,5,a,d,1,316868,19,30,0
a,1564,11,8,0,1,3,4,b,a,1,196584,45,40,1
a,0,10,6,0,1,3,11,a,f,1,105376,70,40,0
a,0,9,2,0,1,3,8,b,e,2,185814,31,30,0
b,0,10,6,0,1,3,5,a,b,1,175374,22,24,0
g,0,9,2,0,1,3,5,b,e,1,108293,36,24,0
b,2179,7,3,0,1,3,7,a,b,1,181232,64,40,0
c,0,10,6,0,1,,,b,a,1,174662,43,40,0
c,0,10,6,0,6,5,1,b,e,1,186009,47,38,0
a,0,9,2,0,1,3,1,b,a,1,198183,34,40,0
a,0,13,1,0,14,3,2,b,f,3,163003,33,40,0
a,0,9,2,0,1,3,7,a,d,1,296158,21,35,0
c,0,9,2,0,1,,,a,a,1,252903,52,45,1
b,0,9,2,0,1,3,7,a,b,1,187715,48,46,0
a,0,13,1,0,1,3,3,a,a,1,214542,23,40,0
e,1816,10,6,0,1,2,6,a,e,2,494223,71,2,0
c,0,9,2,0,1,3,7,a,a,1,191535,29,60,0
e,0,13,1,0,1,3,5,a,f,2,228456,42,50,0
c,0,2,14,0,1,,,b,a,1,38317,68,20,0
a,0,9,2,0,1,3,5,b,e,1,252752,25,40,0
c,0,14,4,0,1,7,2,b,e,3,78374,44,40,0
a,0,9,2,0,10,3,2,b,a,3,88419,28,40,0
b,0,14,4,0,1,2,6,a,b,1,201080,45,40,1
c,0,10,6,0,6,3,5,b,e,1,207157,36,40,0
a,0,12,7,0,1,4,2,a,a,1,235485,39,42,0
g,0,14,4,0,1,1,13,a,e,1,102628,46,40,0
a,0,7,3,0,1,3,3,a,d,1,25828,18,16,0
g,0,11,8,0,1,5,4,b,a,1,54826,66,20,0
a,1980,9,2,0,1,3,5,a,a,1,124953,27,40,0
b,0,9,2,0,1,1,13,a,b,1,175325,28,40,0
b,1977,10,6,0,1,3,6,a,b,1,96062,51,40,1
a,0,13,1,0,1,3,7,a,a,1,428030,27,50,0
b,0,13,1,0,1,1,4,a,b,1,149624,28,40,1
d,0,9,2,0,1,3,6,b,e,1,253814,27,25,0
a,0,9,2,0,1,3,7,a,d,2,312956,21,40,0
a,0,9,2,0,1,3,3,a,a,2,483777,34,40,0
a,0,9,2,0,1,3,5,a,d,1,183930,18,12,0
b,0,13,1,0,1,3,4,a,b,1,37274,33,65,0
b,0,10,6,0,1,5,2,a,b,2,181344,44,38,1
c,0,10,6,0,1,3,1,b,a,1,114580,43,40,0
a,0,10,6,0,1,3,7,a,a,2,633742,30,45,0
b,0,4,9,0,6,3,10,a,b,1,286370,40,40,1
b,0,10,6,0,1,4,1,a,b,1,29054,37,42,1
b,0,9,2,0,1,3,1,a,b,2,304030,34,40,0
c,0,13,1,0,1,2,2,b,a,1,143129,41,40,0
c,0,13,1,0,1,,,b,a,1,135105,53,50,0
b,0,14,4,0,1,3,4,b,c,1,99928,31,50,0
b,0,16,10,0,1,1,4,a,b,1,109567,58,1,1
c,0,10,6,0,1,3,10,b,a,2,155222,38,28,0
b,0,10,6,0,1,3,10,a,b,1,159567,24,40,0
b,0,13,1,0,1,5,7,a,b,2,523910,41,40,0
b,0,10,6,0,1,3,11,a,b,1,120939,47,45,0
b,0,13,1,0,1,4,11,a,b,1,130760,41,24,0
b,0,3,12,0,6,3,8,a,f,1,197387,23,40,0
c,0,10,6,0,1,3,7,a,a,1,99374,36,40,0
a,0,14,4,14084,1,4,2,b,a,1,56795,40,55,1
b,0,14,4,7298,1,3,4,a,f,1,138992,35,40,1
a,0,9,2,0,1,2,6,a,a,1,32921,24,40,0
a,1876,14,4,0,1,3,4,b,a,1,397317,26,40,0
a,0,9,2,0,15,,,a,d,1,170653,19,40,0
b,0,13,1,0,1,3,2,a,b,1,259323,51,50,1
a,1340,10,6,0,1,5,4,b,a,1,254817,42,40,0
c,0,9,2,0,1,1,1,b,e,1,48211,37,35,0
a,0,7,3,0,1,3,6,b,d,1,140164,18,40,0
b,0,13,1,7298,1,3,5,a,b,2,128757,36,36,1
c,0,9,2,0,1,3,7,a,a,1,36270,35,60,0
b,0,9,2,15024,1,7,6,b,c,1,210563,58,35,1
a,0,7,3,0,1,3,6,b,d,1,65368,17,12,0
b,0,9,2,0,1,5,8,a,b,2,160943,44,40,0
b,0,9,2,0,1,3,7,a,b,1,208358,37,40,1
a,0,10,6,0,1,3,6,b,a,4,153790,35,40,0
b,0,9,2,0,1,3,7,a,b,3,85815,60,40,0
b,0,4,9,0,1,7,10,a,b,1,125417,54,40,1
a,0,13,1,0,1,3,2,a,a,2,635913,37,60,1
c,0,12,7,0,1,3,6,b,a,1,313321,50,40,0
b,0,13,1,0,16,3,6,a,b,1,182609,38,50,0
b,0,13,1,0,1,3,4,a,b,1,109434,45,55,0
a,0,6,13,0,1,3,7,a,a,1,255004,25,40,0
b,0,10,6,0,1,3,3,a,b,1,197860,31,40,0
c,0,2,14,0,1,,,a,a,1,187656,64,40,0
a,2206,9,2,0,1,3,5,a,a,2,51744,90,40,0
b,0,9,2,0,1,3,1,a,b,2,176681,54,20,0
a,0,1,15,0,1,5,10,b,a,1,140359,53,35,0
a,0,9,2,0,1,3,6,b,d,1,243313,18,40,0
c,0,6,13,0,1,,,b,a,4,24215,60,10,0
b,0,9,2,1409,1,2,9,a,b,1,167687,66,50,0
g,0,11,8,0,17,3,1,b,a,1,314209,75,20,0
c,0,9,2,0,1,3,1,b,a,1,176796,65,40,0
e,0,7,3,3674,1,3,8,a,a,2,538583,35,40,0
c,0,9,2,0,1,3,6,b,e,2,130408,41,38,0
a,0,10,6,0,1,3,1,a,a,1,159732,25,42,0
c,0,10,6,0,1,3,7,b,f,5,110978,33,40,0
a,0,15,11,0,1,3,4,a,a,1,76714,28,55,1
b,0,9,2,0,1,1,5,a,b,1,268700,59,40,0
a,0,10,6,0,1,1,1,b,a,1,170525,40,38,0
b,0,13,1,0,13,3,2,a,b,1,180138,41,50,1
b,0,14,4,0,1,5,2,a,b,1,115076,38,70,1
a,0,9,2,0,1,3,8,a,d,1,115458,23,40,0
b,0,13,1,0,1,3,4,a,b,1,347890,40,40,1
b,0,9,2,0,1,2,5,b,c,1,196001,41,20,0
b,0,12,7,0,1,1,13,a,b,1,273905,24,50,0
a,0,10,6,0,1,,,a,d,1,119156,20,20,0
c,1741,10,6,0,1,3,7,a,a,1,179488,38,40,0
b,0,9,2,0,,3,1,a,b,1,203580,56,35,0
b,0,9,2,0,1,3,1,a,b,1,236596,58,45,1
a,0,9,2,0,1,3,5,b,a,1,183916,32,34,0
b,1977,12,7,0,1,3,11,a,b,1,207578,40,60,1
b,0,9,2,0,,3,1,a,b,1,153141,45,40,0
b,0,15,11,0,1,3,4,b,c,1,112763,41,40,1
b,0,13,1,0,1,3,1,b,c,2,390781,42,40,0
g,0,6,13,0,1,5,5,b,e,2,171328,59,30,0
a,0,10,6,0,1,5,1,a,d,1,27382,19,40,0
a,0,10,6,0,1,3,8,a,a,1,259014,58,20,0
b,0,9,2,0,18,2,9,a,b,3,303044,42,40,1
a,0,9,2,0,1,3,5,b,d,1,117789,20,40,0
e,0,9,2,0,1,3,5,b,a,1,172579,32,30,0
g,0,11,8,0,1,3,2,b,a,1,187666,45,45,0
c,0,4,9,0,1,3,7,a,a,1,204518,50,40,0
c,0,13,1,0,1,3,4,b,d,1,150042,36,40,0
b,0,9,2,0,1,3,6,a,b,1,98092,45,60,0
a,0,7,3,0,1,3,5,a,d,1,245918,17,12,0
b,0,10,6,4064,1,3,6,a,b,1,146013,59,40,0
b,0,7,3,0,1,3,7,a,b,1,378322,26,40,0
b,0,10,6,0,19,7,2,a,b,3,257295,37,75,1
a,0,10,6,0,11,,,a,d,1,218956,19,24,0
b,0,9,2,0,1,3,2,a,b,1,21174,64,40,1
a,0,13,1,0,1,3,4,b,a,1,185480,33,45,0
b,0,9,2,0,1,3,7,b,c,1,222205,33,40,1
b,0,9,2,0,1,3,2,a,b,1,69867,61,40,1
a,0,5,5,1055,1,3,5,a,d,1,191260,17,24,0
b,0,14,4,2407,1,2,9,a,b,1,30653,50,98,0
a,0,14,4,0,1,5,4,a,d,1,209109,27,35,0
c,0,9,2,0,1,3,4,b,d,1,70377,30,40,0
b,0,9,2,0,1,3,3,a,b,2,477983,43,40,0
b,0,10,6,7298,1,3,7,a,b,1,170924,44,40,1
a,0,10,6,0,1,3,2,b,a,1,190174,35,40,0
a,0,10,6,0,1,3,11,b,d,1,193787,25,40,0
b,0,10,6,7298,1,3,10,b,c,1,279472,24,48,1
a,0,13,1,0,12,3,4,b,a,1,34918,22,15,0
b,0,10,6,5178,1,5,7,a,b,1,97688,42,40,1
c,0,12,7,0,1,3,6,b,e,2,175413,34,45,0
c,0,13,1,0,1,3,4,b,a,1,173960,60,42,0
a,0,9,2,0,1,3,3,a,d,1,205759,21,40,0
b,0,14,4,15024,1,4,6,a,b,1,425161,57,40,1
b,0,15,11,0,1,3,4,a,b,1,220531,41,60,1
c,0,10,6,0,1,3,5,a,a,1,176609,50,45,0
a,0,13,1,0,1,3,2,b,a,1,371987,25,40,0
b,0,4,9,0,20,3,7,a,b,1,193884,50,40,0
b,0,13,1,0,1,3,4,a,b,1,200352,36,45,0
c,0,9,2,0,1,3,4,b,a,1,127595,31,40,0
a,0,13,1,0,1,5,13,a,a,1,220419,29,56,0
a,0,10,6,0,1,3,6,a,d,1,231931,21,45,0
a,0,13,1,0,1,3,11,b,e,2,248402,27,40,0
b,0,9,2,0,1,3,8,a,b,1,111095,65,16,0
c,0,13,1,0,1,7,6,b,a,1,57424,37,60,0
b,0,14,4,3464,,,,b,c,3,157443,39,40,0
a,0,9,2,0,1,3,7,a,d,1,278130,24,40,0
c,0,9,2,0,1,3,6,a,a,1,169469,38,80,0
b,0,13,1,7688,1,3,1,a,b,1,146268,48,40,1
a,0,10,6,0,1,3,5,b,a,3,153718,21,25,0
b,0,9,2,0,1,3,8,a,b,1,217460,31,45,1
b,0,9,2,4386,1,3,6,a,b,1,238638,55,40,1
b,0,10,6,0,21,3,1,b,c,3,303296,24,40,0
c,0,9,2,0,1,3,1,b,a,1,173321,43,40,0
a,0,12,7,0,1,3,11,a,a,1,193945,26,45,0
a,0,12,7,0,1,3,4,b,a,1,83082,46,33,0
b,0,12,7,0,1,3,1,a,b,1,193815,35,40,1
b,0,10,6,0,1,7,9,a,b,1,34987,41,54,1
a,0,13,1,0,1,3,6,a,a,1,59306,26,40,0
b,0,14,4,7298,22,3,2,a,b,3,142897,34,35,1
a,0,10,6,0,1,,,b,d,2,860348,19,25,0
c,0,13,1,0,1,2,4,b,a,2,205607,36,40,1
a,0,10,6,0,1,3,6,a,d,1,199698,22,15,0
a,0,10,6,0,1,3,10,a,a,1,191954,24,40,0
b,0,10,6,0,1,2,6,a,b,1,138714,77,40,0
b,0,3,12,0,6,3,10,b,f,1,399087,22,40,0
a,0,10,6,0,1,3,11,b,a,1,423158,29,40,0
g,0,9,2,0,1,3,5,b,a,1,159841,62,24,0
b,0,9,2,0,1,2,2,a,b,1,174308,39,40,0
b,1485,10,6,0,1,3,7,a,b,1,50356,43,50,0
c,0,9,2,0,1,3,8,a,a,1,186110,35,45,0
a,0,7,3,0,1,3,2,b,a,1,200381,29,40,0
b,0,14,4,0,1,2,7,a,b,1,174309,76,10,0
b,0,9,2,0,1,2,9,a,b,1,78383,63,45,0
a,0,11,8,0,1,,,b,d,2,211601,23,15,0
b,1887,10,6,0,1,3,4,b,c,1,187728,43,50,1
b,0,9,2,0,1,2,3,a,b,1,321171,58,40,0
a,0,9,2,2050,1,3,8,a,a,1,127921,66,55,0
a,0,10,6,0,1,3,7,a,a,2,206565,41,45,0
a,0,13,1,0,1,3,1,a,a,1,224563,26,40,0
a,0,11,8,0,1,3,5,a,a,1,178686,47,40,0
b,0,6,13,0,1,5,1,a,b,1,98545,55,40,0
b,0,9,2,0,1,3,8,a,b,1,242606,53,40,0
a,0,3,12,0,6,3,5,a,f,1,270942,17,48,0
a,0,9,2,0,1,3,7,a,f,1,94235,30,40,0
a,0,14,4,0,1,3,4,a,a,1,71195,49,60,0
a,0,9,2,0,23,3,6,a,e,2,104112,19,30,0
b,0,9,2,0,1,3,5,a,b,2,261192,45,40,0
a,0,12,7,0,1,3,6,a,a,1,94936,26,40,0
b,0,11,8,7298,1,3,7,a,b,1,296478,38,40,1
b,0,9,2,7298,1,1,13,a,b,1,119272,36,40,1
a,0,9,2,0,1,3,9,a,a,1,85043,33,20,0
a,0,10,6,0,1,1,13,b,d,2,293364,22,40,0
a,0,13,1,0,1,2,6,a,a,1,241895,43,42,0
b,0,7,3,0,1,,,a,b,1,36135,67,8,0
c,0,11,8,0,1,,,b,e,1,151989,30,40,0
d,0,12,7,0,13,3,5,a,a,1,101128,56,25,0
a,0,13,1,0,1,3,4,a,d,1,156464,31,25,0
b,0,13,1,0,1,3,2,a,b,1,117963,33,40,1
b,0,9,2,0,1,3,5,a,b,1,192262,26,40,0
b,0,13,1,0,1,3,2,a,b,1,111363,33,40,1
b,0,7,3,0,1,5,8,a,b,1,329752,46,30,0
b,0,13,1,0,1,,,a,b,1,372020,59,40,1
b,0,9,2,0,1,4,1,a,b,1,95432,38,40,1
g,0,7,3,0,1,3,5,a,e,5,161400,65,40,0
b,0,11,8,0,1,3,11,a,b,1,96129,40,40,1
b,0,9,2,0,1,3,1,b,c,1,111949,42,35,0
b,0,5,5,0,24,2,7,a,b,1,117125,26,40,0
b,0,6,13,0,1,3,5,b,c,1,348022,36,24,0
b,0,14,4,0,1,3,4,a,b,1,270092,62,40,1
b,0,13,1,0,1,3,8,a,b,1,180609,43,45,0
c,1564,13,1,0,1,3,2,a,a,1,174575,43,45,1
d,0,9,2,0,1,3,6,a,a,1,410439,22,55,0
b,0,9,2,0,1,3,7,a,b,1,92262,28,40,0
b,0,10,6,0,1,2,6,a,b,1,183081,56,45,0
a,0,12,7,0,1,3,6,b,a,1,362589,22,15,0
c,0,13,1,0,1,3,2,b,a,1,212448,57,45,1
c,0,9,2,0,1,3,6,b,e,1,481060,39,40,0
a,0,10,6,0,1,4,1,b,e,1,185885,26,15,0
a,0,7,3,0,1,3,5,a,d,1,89821,17,10,0
b,0,11,8,0,1,1,10,a,b,1,184018,40,38,1
b,0,9,2,0,1,3,10,a,b,2,256649,45,40,0
a,0,9,2,0,1,3,7,a,a,2,160323,44,40,0
a,0,10,6,0,1,5,1,b,d,1,350845,20,10,0
b,0,9,2,0,1,3,7,b,c,1,267404,33,40,0
a,0,10,6,0,1,3,6,a,a,1,35633,23,40,0
c,0,14,4,0,1,2,2,a,a,1,80914,46,30,0
b,0,9,2,0,1,3,6,a,b,1,172927,38,50,0
c,0,9,2,0,1,3,8,a,a,1,174319,54,40,0
c,2339,3,12,0,1,3,7,b,a,1,214955,46,45,0
b,0,10,6,0,1,3,7,a,b,1,344991,25,40,0
c,0,10,6,0,1,3,6,b,a,1,108699,46,40,0
b,0,10,6,0,1,5,8,b,c,1,117312,36,40,0
a,0,9,2,0,1,3,5,b,a,1,396099,23,25,0
e,0,9,2,0,1,3,10,a,a,1,134152,29,40,0
b,2415,10,6,0,1,3,1,b,c,1,162028,44,6,1
a,0,10,6,0,1,3,1,b,d,1,25429,19,16,0
a,0,9,2,0,1,3,5,b,f,1,232392,19,40,0
b,0,9,2,0,1,3,5,b,c,1,220098,35,40,1
a,0,13,1,0,1,3,7,a,a,1,301302,27,50,0
e,0,12,7,0,1,2,7,a,a,1,277946,46,40,0
b,0,13,1,7688,,1,2,a,b,1,98101,34,45,1
a,0,9,2,0,1,3,5,b,a,1,196164,34,35,0
b,0,10,6,0,1,3,11,a,b,1,115562,44,40,0
c,0,10,6,0,1,3,3,b,e,1,96975,45,40,0
a,0,9,2,0,1,,,b,f,1,137300,20,35,0
b,0,13,1,0,1,3,2,a,b,1,86872,25,55,1
b,0,13,1,0,1,7,2,a,b,1,132178,52,50,1
a,0,10,6,0,1,3,3,a,d,1,416103,20,40,0
a,0,10,6,0,1,3,5,b,a,1,108574,28,40,0
b,0,13,1,0,1,1,13,a,b,1,288353,50,40,1
c,0,11,8,0,1,3,11,b,a,1,227689,34,64,0
b,2179,4,9,0,8,3,3,a,b,5,166481,28,40,0
b,1977,14,4,0,1,3,2,a,b,1,445382,41,65,1
b,0,9,2,0,1,3,1,a,b,1,110145,28,40,0
b,0,9,2,0,1,2,7,a,b,1,317253,46,25,0
b,1887,10,6,0,1,,,b,c,1,123147,28,40,1
b,0,10,6,0,1,3,2,a,b,1,364657,32,50,0
c,0,10,6,0,1,5,5,b,a,2,42346,41,24,0
a,0,9,2,0,1,3,3,b,e,2,241951,24,40,0
c,0,10,6,0,1,3,2,b,e,1,118500,33,40,0
b,0,16,10,15024,1,3,2,a,b,1,188386,46,60,1
b,0,10,6,0,1,1,10,a,b,1,1033222,31,40,0
c,0,8,16,0,1,3,7,a,a,1,92440,35,50,1
b,0,2,14,0,6,3,10,a,b,1,190762,52,40,0
a,0,7,3,0,1,3,5,b,d,1,426017,30,19,0
e,0,7,3,0,1,5,10,a,a,2,243867,34,40,0
c,0,9,2,0,1,1,8,b,e,1,240283,34,40,0
b,0,10,6,0,1,3,6,a,b,1,61777,20,30,0
a,0,7,3,2176,1,3,3,a,d,1,175024,17,18,0
b,0,13,1,0,1,1,2,b,c,1,92003,32,40,1
c,0,9,2,0,1,3,9,a,a,1,188401,29,40,0
a,0,6,13,0,1,3,7,b,e,1,228528,33,35,0
b,0,9,2,0,1,3,8,a,b,1,133373,25,60,0
a,1408,14,4,0,1,4,4,a,a,1,255191,36,40,0
a,0,9,2,0,25,3,3,a,a,1,204653,23,72,0
b,0,9,2,0,1,7,2,a,b,1,222289,63,40,1
b,0,14,4,0,1,5,4,a,b,1,287480,47,40,0
g,0,9,2,0,1,,,a,a,1,107762,80,24,0
a,0,7,3,0,1,,,a,d,1,202521,17,40,0
d,0,13,1,2174,1,2,4,b,a,1,204116,40,40,0
b,0,12,7,0,1,3,5,b,c,1,29662,30,25,1
a,1980,10,6,0,14,3,7,a,d,3,116358,27,40,0
b,0,14,4,0,1,3,4,a,b,1,208405,33,50,1
a,0,9,2,594,1,5,9,a,a,2,284843,34,60,0
a,0,10,6,0,1,5,13,b,a,1,117018,34,40,0
b,0,10,6,0,1,3,1,a,b,1,81281,23,40,0
b,0,10,6,0,1,5,1,b,c,1,340148,42,40,0
a,0,13,1,0,1,3,4,a,a,1,363425,29,40,0
c,0,9,2,0,1,3,1,b,a,1,45857,45,28,0
a,0,9,2,0,1,4,14,a,d,1,191073,24,40,0
b,0,10,6,0,1,3,4,a,b,1,116632,44,40,1
a,0,5,5,0,6,3,7,a,f,1,405855,27,40,0
a,0,10,6,0,1,3,6,a,a,1,298227,20,35,0
g,0,9,2,0,1,3,2,b,e,2,290521,44,40,0
b,0,9,2,0,1,3,7,a,b,4,56915,51,40,0
